rank,words,speech,freqency,dispersion
4253,sheep,n,6320,0.94
4254,discourage,v,6177,0.96
4255,coordinator,n,6478,0.91 N
4256,ideological,j,6793,0.87 A
4257,runner,n,6333,0.93
4258,secular,j,6560,0.90 A
4259,intimate,j,6143,0.96
4260,empire,n,6268,0.94
4261,cab,n,6561,0.90 F
4262,divorce,v,6086,0.97
4263,exam,n,6176,0.95
4264,documentary,n,6321,0.93
4265,neutral,j,6331,0.93 A
4266,biology,n,6334,0.93 A
4267,flexible,j,6312,0.93
4268,progressive,j,6387,0.92 A
4269,web,n,6411,0.92 A
4270,conspiracy,n,6261,0.94
4271,catch,n,6377,0.92
4272,casualty,n,6439,0.91
4273,republic,n,7519,0.78
4274,execution,n,6278,0.93
4275,terrific,j,6356,0.92 S
4276,whale,n,6928,0.84
4277,functional,j,6736,0.87 A
4278,star,v,6328,0.92
4279,draft,v,6234,0.94
4280,instinct,n,6076,0.96
4281,teammate,n,6572,0.89 N
4282,aluminum,n,6468,0.90 M
4283,whoever,p,6250,0.93
4284,ministry,n,6250,0.93
4285,verdict,n,6529,0.89 S
4286,instruct,v,6117,0.95
4287,skull,n,6313,0.92 F
4288,self-esteem,n,6727,0.86 A
4289,ease,n,6103,0.95
4290,cooperative,j,6671,0.87 A
4291,manipulate,v,6159,0.94
4292,bee,n,6342,0.92
4293,practitioner,n,6670,0.87 A
4294,loop,n,6175,0.94
4295,edit,v,6157,0.94
4296,whip,v,6255,0.93 F
4297,puzzle,n,6153,0.94
4298,mushroom,n,6454,0.90 M
4299,subsidy,n,6236,0.93
4300,boil,v,6180,0.94
4301,tragic,j,6038,0.96
4302,mathematics,n,6828,0.85 A
4303,mechanic,n,6092,0.95
4304,jar,n,6284,0.92 F
4305,respect,i,6659,0.87 A
4306,earthquake,n,6439,0.90
4307,pork,n,6261,0.92
4308,creativity,n,6452,0.89 A
4309,safely,r,5959,0.97
4310,underlying,j,6340,0.91 A
4311,dessert,n,6286,0.92
4312,sympathy,n,6044,0.95
4313,fisherman,n,6317,0.91
4314,incredibly,r,6141,0.94
4315,isolation,n,6251,0.92 A
4316,sock,n,6273,0.92 F
4317,near,r,6097,0.94
4318,jump,n,6088,0.95
4319,eleven,m,6239,0.92 F
4320,sexy,j,6300,0.91 M
4321,entrepreneur,n,6238,0.92 M
4322,syndrome,n,6157,0.93
4323,bureau,n,6199,0.93
4324,seat,v,6227,0.92 F
4325,workplace,n,6186,0.93
4326,ambition,n,5962,0.96
4327,touchdown,n,6954,0.82 N
4328,utilize,v,6607,0.87 A
4329,breeze,n,6423,0.89 F
4330,costly,j,6130,0.93
4331,ambitious,j,6040,0.95
